,id,type,location_name,groups,price,area,under_valued,over_valued,normal
4196,2786817,['apartment'],['Nagüeles'],apartment,280000,87.0,0,0,1
4197,2786818,['Villa'],['Nagüeles'],houses,1595000,637.0,1,0,0
4198,2789499,[],['Nagüeles'],[],530000,0.0,None,None,None
4199,2791092,['House'],"['Golden Mile', 'Nagüeles']",houses,530000,304.0,1,0,0
4200,2791825,['villa'],['Golden Mile'],houses,2500000,400.0,1,0,0
4201,2791827,['apartment'],['Golden Mile'],apartment,2100000,161.0,0,1,0
4202,2797490,[],['Nagüeles'],[],469000,0.0,None,None,None
4203,2797843,['Villa'],['Nagüeles'],houses,1295000,428.0,1,0,0
4204,2798081,[],['Nagüeles'],[],469000,0.0,None,None,None
4205,2799520,['Moradia'],['Alenquer'],houses,72500,130.0,1,0,0
4206,2802456,['Moradia'],['Alenquer'],houses,39000,120.0,1,0,0
4207,2807772,['Moradia'],['Alenquer'],houses,350000,355.0,1,0,0
4208,2812315,['Moradia'],['Alenquer'],houses,351000,170.0,1,0,0
4209,2812623,['Moradia'],['Alenquer'],houses,351000,170.0,1,0,0
4210,2814056,"['Villa', 'Quinta']",['Quinta da Marinha'],houses,11736300,0.0,0,1,0
4211,2816131,['Quinta'],['Quinta da Marinha'],houses,750000,125.0,1,0,0
4212,2817654,['QUINTA'],['QUINTA DA MARINHA'],houses,0,556.0,None,None,None
4213,2818913,['apartment'],['Alenquer'],apartment,62300,112.0,1,0,0
4214,2820153,['Quinta'],['Quinta da Marinha'],houses,1900000,248.0,1,0,0
4215,2820527,['Quinta'],['Quinta da Marinha'],houses,750000,125.0,1,0,0
4216,2820531,['Quinta'],['Quinta da Marinha'],houses,500000,90.0,1,0,0
4217,2821887,['Quinta'],['Quinta da Marinha'],houses,1900000,248.0,1,0,0
4218,2822044,['Quinta'],['Quinta da Marinha'],houses,750000,125.0,1,0,0
4219,2822045,['Quinta'],['Quinta da Marinha'],houses,500000,90.0,1,0,0
4220,2822065,['Moradia'],['Alenquer'],houses,210000,197.0,1,0,0
4221,2843681,['Quinta'],['Quinta da Marinha'],houses,500000,0.0,0,0,1
4222,2843683,['Quinta'],['Quinta da Marinha'],houses,750000,0.0,0,0,1
4223,2847943,['villa'],['Alenquer'],houses,152000,207.0,1,0,0
4224,2848030,['villa'],['Alenquer'],houses,79000,0.0,0,0,1
4225,2848031,['apartment'],['Alenquer'],apartment,55000,0.0,0,1,0
4226,2848041,['villa'],['Alenquer'],houses,500000,0.0,0,0,1
4227,2848070,['villa'],['Alenquer'],houses,163000,0.0,0,0,1
4228,2848823,['Quinta'],['Quinta da Marinha'],houses,750000,125.0,1,0,0
4229,2848826,['Quinta'],['Quinta da Marinha'],houses,750000,125.0,1,0,0
4230,2848828,['Quinta'],['Quinta da Marinha'],houses,750000,125.0,1,0,0
4231,2848830,['Quinta'],['Quinta da Marinha'],houses,750000,125.0,1,0,0
4232,2851945,['Quinta'],['Quinta da Marinha'],houses,750000,125.0,1,0,0
4233,2851946,['Quinta'],['Quinta da Marinha'],houses,750000,125.0,1,0,0
4234,2851947,['Quinta'],['Quinta da Marinha'],houses,750000,125.0,1,0,0
4235,2851948,['Quinta'],['Quinta da Marinha'],houses,750000,125.0,1,0,0
4236,2854110,['Moradia'],['Alenquer'],houses,65000,170.0,1,0,0
4237,2857041,['Penthouse'],['Golden Mile'],apartment,1550000,183.0,0,1,0
4238,2857496,['Quinta'],['Quinta da Marinha'],houses,1690000,248.0,1,0,0
4239,2858654,['villa'],['Alenquer'],houses,160000,0.0,0,0,1
4240,2858955,['apartment'],['Alenquer'],apartment,59000,73.0,1,0,0
4241,2861002,['Moradia'],['Alenquer'],houses,208000,268.0,1,0,0
4242,2861028,['Moradia'],['Alenquer'],houses,150000,170.0,1,0,0
4243,2861029,['Moradia'],['Alenquer'],houses,130000,170.0,1,0,0
4244,2861032,['Moradia'],['Alenquer'],houses,150000,170.0,1,0,0
4245,2861706,[],['Nagüeles'],[],650000,0.0,None,None,None
4246,2864551,[],[],[],525000,0.0,None,None,None
4247,2864615,['Moradia'],['Alenquer'],houses,210000,225.0,1,0,0
4248,2867193,[],['Nagüeles'],[],650000,0.0,None,None,None
4249,2867396,['Penthouse'],['Golden Mile'],apartment,1700000,114.0,0,1,0
4250,2867848,['villa'],['Alenquer'],houses,225000,241.0,1,0,0
4251,2867857,['house'],['Alenquer'],houses,275000,180.0,1,0,0
4252,2867876,['villa'],['Alenquer'],houses,130900,140.0,1,0,0
4253,2867927,['villa'],['Alenquer'],houses,199000,120.0,1,0,0
4254,2868007,['land'],['Alenquer'],plots,120000,4560.0,1,0,0
4255,2868023,['apartment'],['Alenquer'],apartment,50000,50.0,1,0,0
4256,2868044,['apartment'],['Alenquer'],apartment,75000,80.0,1,0,0
4257,2868126,['house'],['Alenquer'],houses,500000,432.0,1,0,0
4258,2871289,['duplex'],['Alenquer'],apartment,80000,72.0,0,0,1
4259,2872327,[],['Nagüeles'],[],495000,0.0,None,None,None
4260,2872380,['Villa'],['Nagüeles'],houses,1350000,449.0,1,0,0
4261,2872869,"['moradia', 'Quinta']",['Quinta da Marinha'],houses,4900000,0.0,0,0,1
4262,2874900,[],['Nagüeles'],[],495000,0.0,None,None,None
4263,2874919,['Villa'],['Nagüeles'],houses,1350000,449.0,1,0,0
4264,2878338,['Quinta'],['Quinta da Marinha'],houses,1690000,0.0,0,0,1
4265,2882081,['Moradia'],['Alenquer'],houses,0,145.0,None,None,None
4266,2882083,['Moradia'],['Alenquer'],houses,50000,250.0,1,0,0
4267,2882084,"['Moradia', 'Quinta']",['Alenquer'],houses,149800,141.0,1,0,0
4268,2882086,['Moradia'],['Alenquer'],houses,194900,190.0,1,0,0
4269,2882091,['Moradia'],['Alenquer'],houses,0,95.0,None,None,None
4270,2884887,['Villa'],['Nagüeles'],houses,1350000,449.0,1,0,0
4271,2885735,"['villa', 'Quinta']",['Quinta da Marinha'],houses,2592912,3347.0,1,0,0
4272,2888019,['villa'],['Golden Mile'],houses,2850000,893.0,1,0,0
4273,2888669,['villa'],['Alenquer'],houses,95000,0.0,0,0,1
4274,2890913,['Moradia'],['Alenquer'],houses,208000,252.0,1,0,0
4275,2890914,['Moradia'],['Alenquer'],houses,210000,210.0,1,0,0
4276,2890917,['Moradia'],['Alenquer'],houses,500000,430.0,1,0,0
4277,2890924,['Moradia'],['Alenquer'],houses,215000,335.0,1,0,0
4278,2891554,[],['Nagüeles'],[],650000,0.0,None,None,None
4279,2893080,['Moradia'],['Alenquer'],houses,349950,258.0,1,0,0
4280,2893721,['Apartment'],"['Golden Mile', 'Nagüeles']",apartment,280000,91.0,0,0,1
4281,2894861,['Apartment'],['Golden Mile'],apartment,699000,160.0,0,0,1
4282,2895391,[],['Nagüeles'],[],650000,0.0,None,None,None
4283,2900391,['Quinta'],['Quinta da Marinha'],houses,1690000,248.0,1,0,0
4284,2900630,"['Moradia', 'Quinta']",['Quinta da Marinha'],houses,1490000,250.0,1,0,0
4285,2901250,['Quinta'],['Quinta da Marinha'],houses,1690000,248.0,1,0,0
4286,2901627,"['Moradia', 'Quinta']",['Quinta da Marinha'],houses,1490000,250.0,1,0,0
4287,2905652,['Moradia'],['Alenquer'],houses,58000,64.0,1,0,0
4288,2905657,['Moradia'],['Alenquer'],houses,76000,119.0,1,0,0
4289,2905663,['Moradia'],['Alenquer'],houses,25000,108.0,1,0,0
4290,2909509,['Quinta'],['Quinta da Marinha'],houses,14808000,0.0,0,1,0
4291,2909513,['Quinta'],['Quinta da Marinha'],houses,12340000,0.0,0,1,0
4292,2909545,['Quinta'],['Quinta da Marinha'],houses,8391200,0.0,0,1,0
4293,2909575,['Quinta'],['Quinta da Marinha'],houses,6787000,0.0,0,0,1
4294,2909601,['Quinta'],['Quinta da Marinha'],houses,6170000,0.0,0,0,1
4295,2909614,"['villa', 'Quinta']",['Quinta da Marinha'],houses,6170000,0.0,0,0,1
4296,2909701,['Quinta'],['Quinta da Marinha'],houses,4936000,0.0,0,0,1
4297,2909740,"['Villa', 'Quinta']",['Quinta da Marinha'],houses,4442400,0.0,0,0,1
4298,2909813,['Quinta'],['Quinta da Marinha'],houses,3948800,0.0,0,0,1
4299,2909821,['Quinta'],['Quinta da Marinha'],houses,3948800,0.0,0,0,1
4300,2909857,['Quinta'],['Quinta da Marinha'],houses,3702000,0.0,0,0,1
4301,2909907,['Quinta'],['Quinta da Marinha'],houses,3455200,0.0,0,0,1
4302,2909913,['Quinta'],['Quinta da Marinha'],houses,3432864,0.0,0,0,1
4303,2909919,"['villa', 'Quinta']",['Quinta da Marinha'],houses,3393500,0.0,0,0,1
4304,2909926,['Quinta'],['Quinta da Marinha'],houses,3331800,0.0,0,0,1
4305,2909929,"['Villa', 'Quinta']",['Quinta da Marinha'],houses,3331800,0.0,0,0,1
4306,2909931,"['villa', 'Quinta']",['Quinta da Marinha'],houses,3331800,0.0,0,0,1
4307,2909932,"['house', 'villa', 'Quinta']",['Quinta da Marinha'],houses,3331800,0.0,0,0,1
4308,2909959,"['house', 'Quinta']",['Quinta da Marinha'],houses,3137938,0.0,0,0,1
4309,2909960,"['house', 'Quinta']",['Quinta da Marinha'],houses,3137938,0.0,0,0,1
4310,2909994,"['house', 'Quinta']",['Quinta da Marinha'],houses,3085000,0.0,0,0,1
4311,2910000,['Quinta'],['Quinta da Marinha'],houses,3085000,0.0,0,0,1
4312,2910001,['Quinta'],['Quinta da Marinha'],houses,3085000,0.0,0,0,1
4313,2910028,"['villa', 'Quinta']",['Quinta da Marinha'],houses,3640300,0.0,0,0,1
4314,2910032,['Quinta'],['Quinta da Marinha'],houses,2961600,0.0,0,0,1
4315,2910080,"['Villa', 'Quinta']",['Quinta da Marinha'],houses,2776500,0.0,0,0,1
4316,2910135,"['villa', 'Quinta']",['Quinta da Marinha'],houses,2714800,0.0,0,0,1
4317,2910210,"['House', 'Quinta', 'land']",['Quinta da Marinha'],houses,2468000,0.0,0,0,1
4318,2910221,['Quinta'],['Quinta da Marinha'],houses,2468000,0.0,0,0,1
4319,2910236,"['Villa', 'Quinta']",['Quinta da Marinha'],houses,2436390,0.0,0,0,1
4320,2910239,"['villa', 'Quinta']",['Quinta da Marinha'],houses,2443320,0.0,0,0,1
4321,2910254,['Quinta'],['Quinta da Marinha'],houses,2443320,0.0,0,0,1
4322,2910412,['Quinta'],['Quinta da Marinha'],houses,2282900,0.0,0,0,1
4323,2910432,['Quinta'],['Quinta da Marinha'],houses,2221200,0.0,0,0,1
4324,2911029,"['apartment', 'Quinta']",['Quinta da Marinha'],apartment,1912700,0.0,0,1,0
4325,2911402,['Quinta'],['Quinta da Marinha'],houses,1851000,0.0,0,0,1
4326,2911535,['Quinta'],['Quinta da Marinha'],houses,1727600,0.0,0,0,1
4327,2911548,['Quinta'],['Quinta da Marinha'],houses,1727600,0.0,0,0,1
4328,2911557,"['villa', 'Quinta']",['Quinta da Marinha'],houses,1727600,0.0,0,0,1
4329,2911633,"['House', 'Quinta']",['Quinta da Marinha'],houses,1604200,0.0,0,0,1
4330,2911714,"['apartment', 'duplex', 'house', 'Quinta']",['Quinta da Marinha'],apartment,1598030,0.0,0,1,0
4331,2911716,['Quinta'],['Quinta da Marinha'],houses,1598030,0.0,0,0,1
4332,2911722,"['Apartment', 'Quinta']",['Quinta da Marinha'],apartment,1598030,0.0,0,1,0
4333,2911725,"['Apartment', 'duplex', 'house', 'Quinta']",['Quinta da Marinha'],apartment,1598030,0.0,0,1,0
4334,2911840,"['apartment', 'Duplex', 'Quinta']",['Quinta da Marinha'],apartment,1531972,0.0,0,1,0
4335,2911842,"['apartment', 'house', 'Quinta']",['Quinta da Marinha'],apartment,1536330,0.0,0,1,0
4336,2911846,"['apartment', 'Quinta']",['Quinta da Marinha'],apartment,1536330,0.0,0,1,0
4337,2911858,['Quinta'],['Quinta da Marinha'],houses,1536330,0.0,0,0,1
4338,2911939,"['apartment', 'duplex', 'Quinta']",['Quinta da Marinha'],apartment,1480800,0.0,0,1,0
4339,2912366,['Quinta'],['Quinta da Marinha'],houses,1234000,0.0,0,0,1
4340,2912636,"['house', 'Quinta']",['Quinta da Marinha'],houses,1159960,0.0,0,0,1
4341,2913132,"['Villa', 'Quinta']",['Quinta da Marinha'],houses,2468000,0.0,0,0,1
4342,2914904,['Moradia'],['Alenquer'],houses,0,313.0,None,None,None
4343,2915414,"['Moradia', 'Quinta']",['Quinta da Marinha'],houses,6000000,0.0,0,0,1
4344,2915426,"['Moradia', 'Quinta']",['Quinta da Marinha'],houses,500000,0.0,0,0,1
4345,2915452,"['Moradia', 'Quinta']",['Quinta da Marinha'],houses,1200000,0.0,0,0,1
4346,2915476,"['Moradia', 'Quinta']",['Quinta da Marinha'],houses,1400000,0.0,0,0,1
4347,2915498,"['Moradia', 'Quinta']",['Quinta da Marinha'],houses,5000000,0.0,0,0,1
4348,2915710,"['Villa', 'Quinta']",['Quinta da Marinha'],houses,1000000,0.0,0,0,1
4349,2917330,"['penthouse', 'duplex']",['Nagüeles'],apartment,385000,146.0,0,0,1
4350,2918058,['Apartment'],['Golden Mile'],apartment,310000,118.0,0,0,1
4351,2921572,['Moradia'],['Alenquer'],houses,115000,114.0,1,0,0
4352,2923026,"['apartment', 'PENTHOUSE']",['GOLDEN MILE'],apartment,1656315,3724.0,1,0,0
4353,2923031,['APARTMENT'],['GOLDEN MILE'],apartment,1533625,1636.0,1,0,0
4354,2923032,['APARTMENT'],"['GOLDEN MILE', 'NAGÜELES']",apartment,1533625,3379.0,1,0,0
4355,2925260,"['Moradia', 'Quinta']",['Quinta da Marinha'],houses,2950000,435.0,1,0,0
4356,2925264,"['Moradia', 'Quinta']",['Quinta da Marinha'],houses,1950000,1486.0,1,0,0
4357,2925739,"['Moradia', 'Quinta']",['Quinta da Marinha'],houses,2950000,435.0,1,0,0
4358,2925775,"['Moradia', 'Quinta']",['Quinta da Marinha'],houses,1950000,1486.0,1,0,0
4359,2926607,"['Moradia', 'Quinta']",['Quinta da Marinha'],houses,3200000,0.0,0,0,1
4360,2926623,"['moradia', 'Quinta']",['Quinta da Marinha'],houses,2800000,0.0,0,0,1
4361,2926625,"['Moradia', 'Quinta']",['Quinta da Marinha'],houses,5500000,0.0,0,0,1
4362,2927346,['villa'],['Golden Mile'],houses,3850000,381.0,0,0,1
4363,2930293,"['apartment', 'PENTHOUSE']",['GOLDEN MILE'],apartment,1667790,3724.0,1,0,0
4364,2930309,['APARTMENT'],['GOLDEN MILE'],apartment,1544250,1636.0,1,0,0
4365,2930310,['APARTMENT'],"['GOLDEN MILE', 'NAGÜELES']",apartment,1544250,3379.0,1,0,0
4366,2936111,['Moradia'],['Alenquer'],houses,330000,450.0,1,0,0
4367,2936112,['Moradia'],['Alenquer'],houses,320000,289.0,1,0,0
4368,2936115,['Moradia'],['Alenquer'],houses,259800,180.0,1,0,0
